"SpMax_L" "J_Dz(e)" "C%" "SdssC" "HyWi_B(m)" "LOC" "SM6_L" "F03[C-O]" "Me" "Mi" "SpPosA_B(p)" "B01[C-Br]" "B03[C-Cl]" "SpMax_A" "Psi_i_1d" "SdO" "TI2_L" "SpMax_B(m)" "Psi_i_A" "SM6_B(m)" "Y"
"486" 5.124 1.6801 42.3 0 4.148 0.596 11.063 "10" 0.996 1.12 1.234 "0" "0" 2.437 0 0 3.93 3.882 2 9.237 "0"
"487" 4.835 2.2543 53.8 0 3.666 0 10.423 "0" 0.982 1.099 1.354 "0" "0" 2.417 0 0 2.345 3.942 1.944 8.839 "0"
"488" 4.802 2.6247 39.1 -0.538 3.601 1.489 10.297 "3" 1.027 1.137 1.245 "0" "0" 2.386 -0.001 10.865 2.684 3.936 2.512 8.751 "0"
"489" 4.931 2.9714 41.2 0 3.507 1.028 10.239 "4" 1.05 1.137 1.273 "0" "0" 2.375 -0.002 20.668 1.723 3.966 2.875 8.841 "0"
"490" 4.499 3.0701 46.7 0 3.013 1.125 9.311 "0" 0.984 1.116 1.299 "0" "0" 2.136 0.045 0 1.481 3.599 2.208 7.964 "0"
"491" 4.414 3.2496 38.5 0 2.883 0.802 9.183 "0" 0.998 1.141 1.253 "0" "0" 2.101 -0.081 0 0.975 3.587 2.381 7.838 "0"
"492" 4.414 3.201 38.5 0 2.883 0.802 9.183 "0" 0.998 1.141 1.252 "0" "0" 2.101 -0.081 0 0.975 3.579 2.381 7.834 "0"
"493" 4.414 3.223 38.5 0 2.883 0.802 9.183 "0" 0.998 1.141 1.256 "0" "0" 2.101 -0.081 0 0.975 3.581 2.381 7.834 "0"
"494" 5.003 3.0607 50 0 3.367 0.629 10.084 "2" 1.004 1.109 1.295 "0" "0" 2.351 0.004 0 1.075 3.895 2.364 8.515 "0"
"495" 5.047 2.2477 52.2 0 3.678 0 10.4 "0" 0.988 1.09 1.366 "0" "0" 2.414 0 0 1.443 4.046 1.929 8.933 "0"
"496" 5.29 3.4786 30 0 3.963 1.958 10.77 "8" 1.002 1.136 1.263 "0" "0" 2.36 0 0 3.196 4.699 2.227 9.633 "0"
"497" 5 2.2838 41.5 0.556 3.887 1.048 10.745 "0" 0.982 1.128 1.281 "0" "0" 2.358 0 0 3.585 3.796 2.067 8.919 "0"
"498" 4.802 2.3043 45 0 3.86 1.632 10.181 "0" 1.01 1.079 1.438 "0" "0" 2.38 -0.001 0 3.108 4.346 2.25 9.455 "0"
"499" 5.775 1.4888 47.9 -0.314 4.579 0.42 11.693 "14" 0.992 1.111 1.286 "0" "0" 2.666 0 13.296 3.124 4.026 2.024 9.653 "0"
"500" 4.837 3.2718 28.1 0 3.665 1.621 10.229 "0" 0.996 1.153 1.232 "0" "0" 2.307 -0.001 0 2.315 3.939 2.111 8.797 "0"
"501" 4.985 2.5536 50 0 3.49 0.569 10.158 "0" 0.98 1.107 1.313 "0" "0" 2.327 0.001 0 2.096 3.765 2.077 8.528 "0"
"502" 4.971 2.3195 52 0 3.837 0.648 10.338 "0" 0.998 1.095 1.352 "0" "1" 2.322 0 0 2.758 3.926 2.17 9.118 "0"
"503" 3.618 3.2048 44.4 0 2.816 0 8.412 "0" 0.983 1.083 1.476 "0" "0" 2 -0.214 0 0.579 4.034 1.967 8.415 "0"
"504" 5 3.5426 25 0 3.224 0.722 9.657 "0" 1.078 1.135 1.366 "0" "0" 2 0.389 0 0.8 4.227 3.117 8.859 "0"
"505" 5.345 6.9923 32.7 -1.343 4.603 2.936 11.367 "32" 0.988 1.14 1.18 "0" "0" 2.361 0 52.856 3.435 3.563 2.25 9.275 "0"
"506" 3.978 2.9644 32.8 0 3.799 3.44 9.762 "1" 0.971 1.141 1.207 "0" "0" 1.98 0 9.874 8.527 3.359 1.905 8.252 "0"
"507" 4.17 3.3271 10 0.116 2.767 0.971 8.597 "0" 1.027 1.183 1.193 "0" "0" 1.848 0.419 0 1.542 3.849 3.167 8.14 "0"
"508" 5.382 3.4093 44.4 0 3.648 1.197 10.84 "0" 1.139 1.229 1.046 "0" "0" 2.381 0.001 0 2.219 3.809 4.417 8.673 "0"
"509" 4.796 3.4398 37.5 0 3.288 1.185 9.882 "4" 1.039 1.14 1.224 "0" "0" 2.243 0.015 20.206 1.686 3.837 3.133 8.506 "0"
"510" 4.923 3.5834 40 0 3.299 1.185 9.911 "6" 1.057 1.13 1.213 "0" "0" 2.267 0.015 20.135 1.563 3.861 3.333 8.518 "0"
"511" 4.782 3.3148 38.9 0 3.37 1.273 9.947 "6" 1.041 1.132 1.211 "0" "0" 2.251 -0.008 20.331 1.951 3.834 2.985 8.549 "0"
"512" 4.965 3.6023 38.9 0 3.375 1.16 10.099 "6" 1.041 1.132 1.218 "0" "0" 2.305 -0.008 20.439 1.553 3.882 3.182 8.601 "0"
"513" 4.856 3.0864 42.1 -1.05 3.735 1.662 10.15 "2" 1.061 1.115 1.249 "0" "1" 2.281 -0.002 10.157 2.83 4.009 2.991 9.053 "0"
"514" 5.372 2.8994 34.5 0 3.649 2.108 10.403 "6" 1.001 1.129 1.249 "0" "0" 2.327 0.001 23.192 3.163 4.705 2.542 9.481 "0"
"515" 5.516 2.7057 41.4 0 3.872 0.732 10.806 "8" 1.012 1.118 1.29 "0" "0" 2.426 0 24.454 2.676 4.738 2.681 9.664 "0"
"516" 4.862 3.0744 37.5 -0.205 3.772 1.618 10.32 "3" 1.025 1.132 1.283 "0" "1" 2.292 0.001 11.247 2.902 4.051 2.599 9.082 "0"
"517" 4.845 2.3287 46.2 0 3.89 0.625 10.367 "0" 1.01 1.114 1.32 "0" "1" 2.285 0 0 3.574 3.929 2.243 9.172 "0"
"518" 5.014 2.3207 56.5 0 3.508 0 10.384 "0" 0.975 1.09 1.355 "0" "0" 2.469 -0.001 0 1.305 3.866 1.859 8.609 "0"
"519" 5.188 2.6152 45 -1.233 3.998 1.274 10.841 "6" 1.082 1.116 1.287 "0" "0" 2.497 0 23.37 2.276 4.257 3.123 9.436 "0"
"520" 5.715 2.0229 43.3 -0.299 4.337 0.971 11.472 "9" 0.991 1.122 1.275 "0" "0" 2.617 0 13.096 2.313 3.97 2.099 9.415 "0"
"521" 5.414 2.419 42.5 0 4.094 0.917 11.157 "3" 1.001 1.124 1.303 "0" "1" 2.489 0 0 2.907 4.065 2.229 9.38 "0"
"522" 4.593 2.3348 29.6 0 3.098 1.461 9.665 "0" 0.981 1.149 1.17 "0" "0" 2.175 0.012 0 2.298 3.265 1.833 7.58 "0"
"523" 4.768 2.808 33.3 1.18 3.423 1.455 9.921 "2" 1.007 1.133 1.278 "0" "0" 2.262 -0.008 10.844 1.945 3.904 2.515 8.644 "0"
"524" 5.115 1.9359 53.3 0.355 3.962 0.548 10.947 "6" 1.013 1.103 1.3 "0" "0" 2.529 0 24.736 2.583 3.945 2.417 9.123 "0"
"525" 5.28 2.0284 54.5 -0.647 4.44 0.636 11.127 "10" 1.022 1.092 1.327 "1" "0" 2.551 0 25.24 2.585 6.881 2.525 11.664 "0"
"526" 5.054 2.3939 42.9 0 4.393 1.709 10.966 "4" 1.032 1.128 1.289 "0" "1" 2.374 0 21.618 5.285 4.09 2.758 9.674 "0"
"527" 5.003 2.6389 37.1 -1.11 4.549 1.969 11.22 "8" 1.03 1.137 1.218 "0" "1" 2.38 0 56.27 4.828 3.992 2.753 9.692 "0"
"528" 5.421 1.9985 52.6 -0.848 4.52 0.638 11.207 "15" 1.025 1.097 1.305 "1" "0" 2.558 0 25.591 3.126 6.879 2.561 11.671 "0"
"529" 5.468 2.0989 50 -1.693 4.31 0.82 11.288 "18" 1.04 1.108 1.261 "0" "0" 2.583 0 48.901 2.801 4.061 2.887 9.531 "0"
"530" 5.32 2.628 42.9 1.361 3.454 0.773 10.617 "0" 0.975 1.122 1.3 "0" "0" 2.428 0.001 0 1.204 3.792 1.904 8.475 "0"
"531" 4 2.8657 20 0 3.134 0.811 8.318 "0" 1.148 1.132 1.376 "0" "0" 1.732 -0.636 0 1 4.118 3.417 8.732 "0"
"532" 3.414 2.1303 25 0 4.047 1 7.408 "0" 1.014 1.116 1.5 "1" "0" 1.618 -0.501 0 1.707 6.901 2.125 12.252 "0"
"533" 4.303 3.0128 27.3 0 3.295 1.459 8.815 "0" 1.046 1.136 1.28 "0" "1" 1.932 -0.226 0 1.745 3.819 2.778 8.704 "0"
"534" 4.517 2.7655 40 0 3.073 1.409 9.391 "0" 0.976 1.129 1.264 "0" "0" 2.149 -0.024 0 2.036 3.562 1.963 7.899 "0"
"535" 5.461 2.7306 29.4 0 3.271 1.124 10.724 "0" 0.972 1.151 1.2 "0" "0" 2.412 0.003 0 1.306 3.487 1.986 7.935 "0"
"536" 5.018 2.6755 50 -1.992 3.746 1.125 10.568 "8" 1.035 1.104 1.254 "0" "0" 2.396 0 21.451 2.158 3.919 3 8.915 "0"
"537" 4.802 2.6956 43.8 0.682 3.385 0.664 10.012 "0" 1.003 1.109 1.351 "0" "0" 2.364 -0.007 0 1.146 3.945 2.167 8.71 "0"
"538" 5.014 2.6689 57.1 0 3.647 0 10.384 "0" 0.981 1.075 1.419 "0" "0" 2.469 -0.001 0 1.305 4.345 1.885 9.171 "0"
"539" 4.303 3.3609 30 0 2.965 0.862 9.067 "0" 1.016 1.133 1.35 "0" "0" 2.115 0.139 0 0.956 4.123 2.417 8.563 "0"
"540" 5.697 2.6497 41.4 -1.903 3.768 0.972 10.864 "10" 1.021 1.128 1.235 "0" "0" 2.511 0 35.007 1.861 3.82 2.789 8.806 "0"
"541" 5.359 4.2584 32 0 3.51 1.842 10.987 "0" 0.96 1.141 1.256 "0" "0" 2.314 -0.001 0 3.775 3.423 1.724 8.212 "0"
"542" 5 3.1241 25 0 2.388 0.722 9.657 "0" 0.97 1.161 1.176 "0" "0" 2 0.325 0 0.8 3.224 2.25 7.03 "0"
"543" 4.214 2.904 22.2 0 2.565 1.459 8.755 "0" 0.979 1.171 1.143 "0" "0" 1.902 -0.213 0 2.052 3.07 2.167 6.918 "0"
"544" 3.802 2.6771 20 0 2.715 1.95 8.394 "0" 0.986 1.179 1.083 "0" "0" 1.848 0.131 0 2.885 2.937 2.357 6.869 "0"
"545" 3.902 2.906 21.4 0 3.063 2.322 8.881 "0" 0.985 1.175 1.104 "0" "0" 1.919 -0.024 0 4.086 2.995 2.2 7.275 "0"
"546" 5.086 3.6943 25 0 2.62 0.918 9.771 "3" 1.005 1.156 1.104 "0" "0" 2.074 -0.23 0 1.372 3.31 2.792 7.266 "0"
"547" 3.802 2.7037 21.1 0 2.734 1.95 8.394 "0" 0.997 1.173 1.071 "0" "0" 1.848 0.136 0 2.885 2.946 2.643 6.907 "0"
"548" 3.973 2.8789 31.6 0 3.744 3.301 9.649 "0" 0.963 1.137 1.238 "0" "0" 1.975 0 0 7.718 3.349 1.617 8.202 "0"
"549" 4.214 4.0251 20 -0.197 2.752 1.459 8.755 "0" 1.041 1.199 1.171 "0" "0" 1.902 -0.277 0 2.052 3.496 3.528 7.753 "0"
"550" 4.5 3.9147 31.3 0 4.566 3.777 10.56 "0" 0.963 1.133 1.271 "0" "0" 2.121 0 0 7.395 4.527 1.552 9.639 "0"
"551" 5.259 4.7145 23.1 0 3.375 1.868 10.091 "9" 1.014 1.149 1.165 "0" "0" 2.236 0.015 11.347 1.836 4.415 2.619 9.008 "0"
"552" 5.236 4.6932 17.6 0 3.144 1.406 9.967 "9" 1.041 1.155 1.136 "0" "0" 2.189 -0.09 10.653 1.309 4.421 3.038 8.962 "0"
"553" 5.271 5.431 30 0 4.187 2.826 10.853 "15" 0.978 1.142 1.194 "0" "0" 2.298 0 13.429 3.847 4.416 1.959 9.317 "0"
"554" 5.262 3.6865 30.5 0 3.88 2.733 10.387 "0" 0.962 1.135 1.299 "0" "1" 2.257 0 0 3.441 4.278 1.665 9.024 "0"
"555" 4.807 3.2576 36.8 0 3.099 0.881 9.833 "0" 0.986 1.14 1.254 "0" "0" 2.246 -0.025 0 1.06 3.709 2.333 8.111 "0"
"556" 4.807 3.2147 40 0 3.087 0.881 9.833 "0" 0.976 1.129 1.288 "0" "0" 2.246 -0.024 0 1.06 3.704 2.111 8.099 "0"
"557" 4.83 2.1379 41.5 0 3.819 1.039 10.623 "0" 0.977 1.126 1.287 "0" "0" 2.311 0 0 3.774 3.718 1.904 8.803 "0"
"558" 4.882 3.2197 39.1 -0.89 3.399 1.258 10.136 "4" 1.008 1.13 1.221 "0" "0" 2.288 0.004 10.557 2.011 3.733 2.667 8.409 "0"
"559" 5.201 3.8748 40 -3.157 3.707 1.254 10.498 "12" 1.092 1.129 1.174 "0" "0" 2.404 -0.001 42.199 1.609 3.94 3.756 8.937 "0"
"560" 5.489 1.8973 37.8 -2.385 5.293 0.927 12.609 "40" 0.988 1.129 1.236 "0" "0" 2.467 0 56.39 5.365 3.897 2.266 10.292 "0"
"561" 5.375 3.6618 33.3 0 3.564 1.124 10.524 "6" 1.033 1.129 1.235 "0" "0" 2.368 0.004 21.363 1.671 4.74 3.16 9.542 "0"
"562" 5.385 3.7456 33.3 0 3.745 1.084 10.644 "6" 1.048 1.126 1.258 "0" "1" 2.396 -0.002 21.468 1.693 4.742 3.207 9.697 "0"
"563" 5.511 2.6317 44.4 0 3.884 0.732 10.806 "12" 1.03 1.105 1.275 "0" "0" 2.42 0 24.186 2.731 4.737 2.917 9.671 "0"
"564" 5.016 2.2586 37.5 -0.589 3.389 0.799 10.366 "8" 1.012 1.13 1.195 "0" "0" 2.441 -0.002 22.204 1.197 3.686 2.611 8.289 "0"
"565" 4.694 1.7937 32.5 0.902 3.673 0.5 10.219 "0" 0.975 1.137 1.228 "0" "0" 2.236 0 0 3.872 3.856 1.75 8.614 "0"
"566" 5.665 1.9758 51.4 0 4.052 0.432 10.89 "0" 0.976 1.085 1.424 "0" "1" 2.49 0 0 1.839 4.433 1.99 9.487 "0"
"567" 5.307 3.0431 52.2 0 5.701 0.719 11.156 "4" 1.089 1.03 1.583 "1" "0" 2.485 0 0 3.176 6.99 2.217 13.877 "0"
"568" 5.493 2.107 40 0 4.889 0.97 12.308 "12" 0.974 1.125 1.283 "0" "0" 2.525 0 0 3.898 3.956 2 9.962 "0"
"569" 5.511 1.5321 48.4 0 4.328 0.541 11.432 "0" 0.973 1.108 1.315 "0" "0" 2.431 0 0 5.586 3.805 1.903 9.379 "0"
"570" 5.645 2.6483 48.3 -1.283 3.768 0.922 10.779 "8" 1.01 1.108 1.253 "0" "0" 2.461 0 11.372 2.163 3.815 2.662 8.81 "0"
"571" 5.392 2.6779 36.8 0 4.264 1.018 11.255 "12" 1.043 1.121 1.244 "0" "0" 2.416 0 45.607 4.149 4.747 3.16 10.25 "0"
"572" 5.35 2.0188 53.3 -5.135 4.7 0.899 11.524 "18" 1.062 1.092 1.297 "0" "1" 2.522 0 49.639 5.027 4.18 2.932 10.094 "0"
"573" 5.995 3.0045 39.1 -3.753 4.318 1.053 11.51 "8" 1.116 1.112 1.278 "0" "1" 2.789 0 22.691 1.075 4.405 3.355 9.839 "0"
"574" 5.38 2.1089 40 0.787 3.73 1 10.919 "8" 0.998 1.125 1.237 "0" "0" 2.596 0 23.572 1.434 3.795 2.353 8.688 "0"
"575" 5.119 2.5804 54.5 0 3.434 0 10.355 "0" 0.974 1.094 1.369 "0" "0" 2.471 0.001 0 0.751 3.941 1.806 8.592 "0"
"576" 5.423 2.9683 35.3 0 4.386 1.016 11.356 "12" 1.07 1.119 1.262 "0" "1" 2.477 0 45.487 3.03 4.751 3.308 10.384 "0"
"577" 5.039 2.6275 50 -0.79 3.589 1.217 10.309 "2" 1.003 1.104 1.29 "0" "0" 2.376 -0.001 10.612 2.131 3.879 2.512 8.701 "0"
"578" 5.369 2.3752 37 -0.557 4.187 1.455 10.969 "6" 1.053 1.115 1.299 "0" "0" 2.504 0 24.195 2.749 4.311 2.77 9.635 "0"
"579" 4.303 3.5568 20 0 2.774 0.862 9.067 "0" 1.041 1.199 1.194 "0" "0" 2.115 0.15 0 0.956 3.662 2.694 7.859 "0"
"580" 5.431 2.8292 30 0 3.203 0.832 10.681 "2" 0.979 1.148 1.202 "0" "0" 2.394 -0.007 0 1.055 3.509 2.121 7.93 "0"
"581" 4.792 1.7397 30 2.068 4.217 0.548 10.477 "0" 0.99 1.106 1.364 "0" "0" 2.242 0 0 5.633 4.476 1.85 9.806 "0"
"582" 4 2.368 28.6 0 2.647 0 8.623 "0" 1.014 1.149 1.083 "0" "0" 2 0.135 0 0.667 3.122 2.167 7.015 "0"
"583" 4.732 3.6508 20 0 3.146 0.881 9.803 "0" 1.041 1.199 1.146 "0" "0" 2.236 -0.028 0 0.95 3.775 2.889 8.228 "0"
"584" 4.732 3.09 25 -2.406 3.185 0.881 9.803 "6" 1.107 1.177 1.126 "0" "0" 2.236 -0.029 30.54 0.95 3.632 3.722 8.205 "0"
"585" 5.493 2.0841 38.1 -2.283 4.908 0.97 12.308 "24" 0.988 1.131 1.248 "0" "0" 2.525 0 44.045 3.898 3.918 2.281 9.972 "0"
"586" 4.838 2.2234 33.3 1.397 3.229 0 9.909 "0" 0.977 1.145 1.22 "0" "0" 2.291 0.004 0 1.145 3.502 1.697 7.886 "0"
"587" 4.732 2.2384 30 0 2.92 0 9.728 "0" 0.981 1.154 1.156 "0" "0" 2.303 -0.021 0 0.5 3.369 1.625 7.49 "0"
"588" 5.02 2.2627 42.3 -1.023 4.241 1.776 11.051 "6" 1.004 1.123 1.267 "0" "0" 2.392 0 45.646 4.905 3.834 2.595 9.307 "0"
"589" 5.013 1.8267 42.4 -1.123 4.692 1.541 11.371 "5" 1.019 1.121 1.277 "0" "1" 2.415 0 35.613 4.374 4.304 2.444 9.956 "0"
"590" 5.02 1.5772 45.7 -2.182 4.79 0.774 11.501 "6" 1.018 1.118 1.289 "0" "1" 2.393 0 49.391 7.983 4.005 2.543 9.977 "0"
"591" 5.126 2.3232 47.2 0 4.103 0.832 10.931 "6" 1.02 1.117 1.282 "0" "0" 2.418 0 22.238 3.982 3.956 2.594 9.333 "0"
"592" 5.325 3.1038 50 -1.249 4.049 0.789 10.761 "6" 1.114 1.095 1.331 "0" "1" 2.534 0 22.671 1.13 4.274 3.085 9.567 "0"
"593" 4.923 2.4754 47.1 0 3.392 0.664 9.946 "2" 1.011 1.107 1.271 "0" "1" 2.387 -0.007 0 1.563 3.922 2.178 8.669 "0"
"594" 4.782 2.3537 30.8 -0.638 3.243 1.273 9.947 "4" 0.998 1.147 1.141 "0" "0" 2.251 -0.007 10.518 1.951 3.446 2.621 7.915 "0"
"595" 2 1.1349 0 0 1.544 0 4.174 "0" 1.015 1.235 0.863 "0" "0" 1 -1.099 0 1 2.267 4 4.917 "0"
"596" 4.214 2.8141 33.3 0 2.582 1.459 8.755 "0" 0.961 1.138 1.27 "0" "0" 1.902 -0.197 0 2.052 3.09 1.972 7.038 "0"
"597" 3.902 2.6931 30.8 0 3.401 2.322 8.881 "0" 0.985 1.139 1.241 "0" "1" 1.919 -0.022 0 4.086 3.547 2.022 8.444 "0"
"598" 5.164 3.7343 27.3 0 3.525 1.379 9.874 "0" 1.075 1.131 1.305 "0" "1" 2.136 0.138 0 1.496 4.099 2.956 9.051 "0"
"599" 5.646 4.8224 25 0 3.543 0.811 10.505 "0" 1.27 1.262 1.119 "0" "0" 2.303 -0.099 0 1.411 4.196 4.854 9.044 "0"
"600" 4.17 3.6942 33.3 0.09 3.245 0.971 8.597 "0" 1.123 1.11 1.38 "0" "0" 1.848 0.414 0 1.542 4.098 3.2 8.832 "0"
"601" 4.496 3.6686 30 0 3.287 2.237 9.519 "0" 0.965 1.147 1.197 "0" "0" 2.101 0.003 0 2.551 3.165 1.654 7.567 "0"
"602" 4.253 3.0445 27.8 0 3.226 2.252 9.598 "0" 0.97 1.155 1.191 "0" "0" 2 -0.007 0 4.596 3.112 1.75 7.652 "0"
"603" 4.303 3.1413 23.5 0 2.587 1.459 8.815 "2" 0.991 1.164 1.072 "0" "0" 1.932 -0.222 0 1.745 3.128 2.5 6.959 "0"
"604" 5.164 3.5612 26.3 0 2.756 1.379 9.874 "6" 0.998 1.153 1.091 "0" "0" 2.136 0.131 0 1.496 3.278 2.893 7.268 "0"
"605" 5.303 4.0516 26.1 0 3.01 1.392 10.053 "9" 1.007 1.154 1.079 "0" "0" 2.236 0.044 0 1.164 3.32 3.028 7.453 "0"
"606" 5.098 3.4015 26.1 0 2.859 1.5 9.872 "0" 0.983 1.157 1.138 "0" "0" 2.112 -0.073 0 2.472 3.271 2.344 7.383 "0"
"607" 4.438 3.4065 26.1 0 2.85 1.561 9.104 "0" 0.983 1.157 1.122 "0" "0" 2.029 -0.073 0 2.054 3.137 2.25 7.167 "0"
"608" 5.236 3.8074 23.8 0 2.89 1.406 9.967 "4" 1.003 1.162 1.066 "0" "0" 2.189 -0.078 0 1.309 3.311 2.969 7.37 "0"
"609" 4.491 3.6384 28.6 0 3.231 2.23 9.449 "0" 0.976 1.151 1.166 "0" "0" 2.093 -0.007 0 2.764 3.167 2 7.528 "0"
"610" 3.879 2.8492 29.6 0 2.938 2.281 8.743 "2" 0.973 1.146 1.169 "0" "0" 1.902 0.04 0 3.685 2.997 1.833 7.135 "0"
"611" 5.283 4.9583 29.6 0 3.781 2.161 11.219 "14" 0.988 1.146 1.164 "0" "0" 2.298 0 0 5.013 3.48 2.1 8.553 "0"
"612" 5.333 4.7687 25.6 0 3.66 2.027 10.771 "24" 1.026 1.155 1.068 "0" "0" 2.303 0 0 3.918 3.394 3.176 8.181 "0"
"613" 4.482 3.906 27.3 0 3.368 2.192 9.868 "3" 1.004 1.151 1.107 "0" "0" 2.098 0.004 0 4.063 3.248 2.577 7.861 "0"
"614" 4.412 3.3381 32.2 0.253 4.479 4.297 10.675 "4" 0.971 1.142 1.198 "0" "0" 2.086 0 24.053 15.507 3.374 1.841 8.904 "0"
"615" 4.38 3.3651 23.1 -0.439 3.343 2.252 9.65 "2" 1.018 1.173 1.115 "0" "0" 2.047 -0.008 21.129 4.178 3.366 3.028 8.066 "0"
"616" 4.947 4.3619 28.6 -2.409 4.298 1.371 9.956 "4" 1.101 1.126 1.246 "1" "0" 2.214 -0.028 20.21 2.232 6.911 3.75 12.27 "0"
"617" 4.675 4.5744 27.3 -3.785 3.49 1.776 10.007 "0" 1.073 1.155 1.099 "0" "0" 2.175 0.005 30.436 2.211 3.488 3.885 8.405 "0"
"618" 5.182 4.1948 21.1 0 3.463 1.837 9.966 "2" 1.007 1.119 1.35 "0" "0" 2.175 0.045 0 2.244 4.828 2.46 9.521 "0"
"619" 5.602 5.159 20.7 0 3.361 1.241 10.509 "6" 0.989 1.164 1.231 "0" "0" 2.376 0.013 12.09 1.357 4.468 2.346 9.077 "0"
"620" 5.27 5.1487 25.7 0 5.27 2.388 10.649 "12" 1.039 1.119 1.379 "1" "0" 2.284 0 12.499 3.036 6.912 2.39 13.367 "0"
"621" 5.184 3.9866 25 0 3.503 2.47 10.126 "8" 1.004 1.147 1.158 "0" "0" 2.194 0.004 11.075 3.798 4.432 2.6 9.066 "0"
"622" 5.509 5.4486 29.6 0 5.083 2.383 10.95 "6" 0.961 1.132 1.397 "0" "0" 2.414 0 0 3.022 10.428 1.604 14.7 "0"
"623" 5.349 4.4437 29.8 -0.024 4.494 2.184 10.42 "3" 0.973 1.134 1.343 "0" "0" 2.318 0 11.379 1.951 10.323 2.005 14.008 "0"
"624" 5.333 4.5365 31.7 0 4.785 3.105 10.724 "0" 0.959 1.136 1.292 "0" "0" 2.309 0 0 3.559 10.319 1.528 14.007 "0"
"625" 4.481 3.8606 36 0 3.135 1.895 9.292 "0" 0.971 1.136 1.285 "0" "0" 2.074 -0.024 0 2.02 3.257 2.15 7.746 "0"
"626" 5.333 4.7127 27.9 0 3.631 2.027 10.771 "18" 1.003 1.15 1.107 "0" "0" 2.303 0 0 3.918 3.386 2.706 8.143 "0"
"627" 5.511 2.626 48 0 4.046 0.732 10.806 "8" 1.032 1.092 1.347 "0" "1" 2.42 0 24.34 2.731 4.738 2.694 9.875 "0"
"628" 5.138 3.6483 46.7 -1.188 3.792 1.124 10.297 "4" 1.085 1.1 1.31 "0" "1" 2.368 0.004 10.567 1.45 4.147 3.139 9.259 "0"
"629" 4.732 3.0271 40 0 3.08 1.187 9.642 "0" 0.976 1.129 1.27 "0" "0" 2.194 -0.024 0 1.659 3.601 1.963 7.982 "0"
"630" 4.912 3.2927 40 0 3.087 0.881 9.863 "0" 0.976 1.129 1.286 "0" "0" 2.264 -0.024 0 0.95 3.719 2.111 8.103 "0"
"631" 4.732 3.2078 40 0 3.087 0.881 9.803 "0" 0.976 1.129 1.298 "0" "0" 2.236 -0.024 0 0.95 3.695 2.111 8.095 "0"
"632" 4.616 2.8239 39.1 0 3.168 1.461 9.69 "0" 0.974 1.13 1.27 "0" "0" 2.203 0.013 0 2.063 3.63 1.933 8.047 "0"
"633" 4.783 3.1257 40 0 3.08 1.187 9.668 "0" 0.976 1.129 1.273 "0" "0" 2.222 -0.024 0 1.358 3.65 1.981 8.005 "0"
"634" 4.75 2.0515 40.9 0 3.859 1.491 10.536 "0" 0.976 1.126 1.282 "0" "0" 2.285 0 0 4.361 3.689 1.908 8.765 "0"
"635" 4.739 2.1754 42.9 0 3.72 1.085 10.361 "0" 0.979 1.123 1.288 "0" "0" 2.279 0 0 3.551 3.688 1.961 8.671 "0"
"636" 4.88 1.8312 40 0 3.6 0 10.272 "0" 0.998 1.127 1.195 "0" "0" 2.375 0 0 2.221 3.627 1.956 8.602 "0"
"637" 4.596 3.1791 37.5 0 2.997 0.875 9.54 "0" 0.991 1.14 1.254 "0" "0" 2.175 0.045 0 1.069 3.638 2.417 7.969 "0"
"638" 4.596 3.2067 42.9 0 3.202 0.875 9.54 "0" 1.005 1.121 1.316 "0" "1" 2.175 0.045 0 1.069 3.876 2.431 8.463 "0"
"639" 4.732 3.271 42.9 0 3.202 0.875 9.579 "0" 1.005 1.121 1.312 "0" "1" 2.194 0.045 0 0.854 3.903 2.431 8.466 "0"
"640" 4.77 2.9221 39.1 0 3.175 1.185 9.882 "0" 0.974 1.13 1.27 "0" "0" 2.236 0.013 0 1.74 3.651 2.067 8.096 "0"
"641" 5.005 1.8996 39.4 0 3.657 0.5 10.424 "0" 0.995 1.128 1.204 "0" "0" 2.396 0 0 2.271 3.697 1.938 8.68 "0"
"642" 4.796 3.4006 41.2 0 3.278 1.185 9.882 "4" 1.024 1.127 1.253 "0" "0" 2.243 0.015 20.317 1.686 3.835 2.933 8.497 "0"
"643" 4.923 3.5053 41.2 0 3.278 1.185 9.911 "4" 1.024 1.127 1.254 "0" "0" 2.267 0.015 20.455 1.563 3.854 2.933 8.499 "0"
"644" 4.77 3.3176 41.2 0 3.278 1.185 9.882 "4" 1.024 1.127 1.253 "0" "0" 2.236 0.015 20.236 1.74 3.83 2.933 8.497 "0"
"645" 4.912 3.3307 42.1 0 3.1 0.881 9.863 "4" 0.987 1.12 1.271 "0" "0" 2.264 -0.024 0 0.95 3.728 2.333 8.118 "0"
"646" 5.027 3.4136 40.9 0 3.193 0.861 10.084 "4" 0.983 1.123 1.269 "0" "0" 2.318 0.013 0 0.984 3.784 2.267 8.242 "0"
"647" 4.845 3.2928 38.1 0 3.198 1.185 9.902 "2" 0.993 1.133 1.241 "0" "0" 2.267 0.014 0 1.393 3.718 2.25 8.175 "0"
"648" 4.732 2.4398 50 0 3.558 0.544 10.15 "4" 0.986 1.104 1.31 "0" "0" 2.264 -0.001 0 2.919 3.699 2.036 8.573 "0"
"649" 5.979 2.4858 37.5 -3.631 4.672 1.621 11.98 "10" 1.033 1.162 1.152 "0" "0" 2.508 0 24.703 7.425 3.867 3.161 9.671 "0"
